กรรม	gam	kamma, action
แต่	dtɛ̀ɛ	but
แม้	mɛ́ɛ	even, although
แล	lɛɛ	indeed (literary particle)
และ	lɛ́	and
แล้ว	lɛ́ɛo	already, then
แห่ง	hɛ̀ng	of (formal genitive)
โกสัมพิก	goo-sǎm-pí-gà	of Kosambī
โกสัมพี	goo-sǎm-pii	Kosambī (place)
โค	koo	ox, cow
โค่น	kôon	to fell, topple
โทสะ	too-sà	hatred, anger (dosa)
โมหะ	moo-hà	delusion (moha)
โลก	lôok	world
ใจ	jai	heart, mind
ใน	nai	in
ใหญ่	yài	big, great
ให้	hâi	to give; to cause to
ได้	dâai	to get; can; past marker
ไป	bpai	to go
ไม่	mâi	not
ไว้	wái	to keep, set aside (resultative)
ไหน	nǎi	which, where
